,seqnames,start,end,width,strand,ZAlinkage,chgpt.mean
000000F.1,000000F,1,1462500,1462500,*,Z,1.1008821904671
000000F.2,000000F,1462501,6516000,5053500,*,Z,0.914245751322618
000000F.3,000000F,6516001,6531500,15500,*,Z,2.44282319613974
000000F.4,000000F,6531501,11379500,4848000,*,Z,0.887872835978841
000000F.5,000000F,11379501,11425000,45500,*,Z,1.56875191815906
000000F.6,000000F,11425001,12057500,632500,*,Z,0.809280053792803
000000F.7,000000F,12057501,12557500,500000,*,Autosome,-0.245814454179257
000000F.8,000000F,12557501,12566000,8500,*,Z,1.31586837567802
000000F.9,000000F,12566001,13251500,685500,*,Autosome,-0.0735553203228135
000000F.10,000000F,13251501,13268500,17000,*,Z,1.03464078367978
000000F.11,000000F,13268501,14047500,779000,*,Autosome,-0.176828272457582
000000F.12,000000F,14047501,14244500,197000,*,Autosome,0.128844043255918
000000F.13,000000F,14244501,14250500,6000,*,Z,1.90572680399424
000000F.14,000000F,14250501,14427000,176500,*,Autosome,-0.181991510964243
000000F.15,000000F,14427001,14534500,107500,*,Z,0.588262398445653
000000F.16,000000F,14534501,14546000,11500,*,W,-2.46191394820038
000000F.17,000000F,14546001,14952500,406500,*,Autosome,-0.0724603766562147
000000F.18,000000F,14952501,15590500,638000,*,Autosome,0.285856358817893
000000F.19,000000F,15590501,15679130,88630,*,Z,0.726137786949896
000001F.1,000001F,1,871000,871000,*,Autosome,0.285660854418198
000001F.2,000001F,871001,3156000,2285000,*,Autosome,-0.0422651172155678
000001F.3,000001F,3156001,3162000,6000,*,Z,2.8228934602638
000001F.4,000001F,3162001,4594500,1432500,*,Autosome,-0.119498773545679
000001F.5,000001F,4594501,4600000,5500,*,Z,2.23934574015214
000001F.6,000001F,4600001,7487500,2887500,*,Autosome,-0.0483621107672143
000001F.7,000001F,7487501,7494500,7000,*,Z,1.68328442608815
000001F.8,000001F,7494501,7808500,314000,*,Autosome,-0.187285647714085
000001F.9,000001F,7808501,7855000,46500,*,Autosome,0.510885403427349
000001F.10,000001F,7855001,9188500,1333500,*,Autosome,0.0210182985953905
000001F.11,000001F,9188501,9194000,5500,*,Z,1.78719398165636
000001F.12,000001F,9194001,10020000,826000,*,Autosome,-0.0943792324608425
000001F.13,000001F,10020001,10067500,47500,*,Z,1.79163188282731
000001F.14,000001F,10067501,10077000,9500,*,Autosome,0.298858207597802
000002F.1,000002F,1,17000,17000,*,Z,1.61483377012568
000002F.2,000002F,17001,29500,12500,*,Autosome,-0.140244758678936
000002F.3,000002F,29501,79500,50000,*,Z,1.21963687905114
000002F.4,000002F,79501,738000,658500,*,Autosome,0.212697121604668
000002F.5,000002F,738001,762500,24500,*,Z,1.12626394795497
000002F.6,000002F,762501,3875500,3113000,*,Autosome,0.055645583022014
000002F.7,000002F,3875501,7995500,4120000,*,Autosome,-0.0452221684176885
000002F.8,000002F,7995501,7999500,4000,*,Z,2.48180696387748
000002F.9,000002F,7999501,8708500,709000,*,Autosome,-0.0251015530019913
000002F.10,000002F,8708501,9361500,653000,*,Autosome,0.303068915786913
000002F.11,000002F,9361501,9694000,332500,*,Autosome,-0.0575771916516635
000002F.12,000002F,9694001,9824000,130000,*,Autosome,0.311934965868324
000003F.1,000003F,1,139500,139500,*,Z,0.814674352236186
000003F.2,000003F,139501,2989500,2850000,*,Autosome,-0.0702183149413185
000003F.3,000003F,2989501,2996500,7000,*,Z,1.83452414616182
000003F.4,000003F,2996501,4228500,1232000,*,Autosome,-0.19519458196643
000003F.5,000003F,4228501,4243500,15000,*,Z,1.33182920897902
000003F.6,000003F,4243501,4348500,105000,*,Autosome,-0.262341124102469
000003F.7,000003F,4348501,4355000,6500,*,Z,1.73478275960102
000003F.8,000003F,4355001,5808000,1453000,*,Autosome,-0.16811479327533
000003F.9,000003F,5808001,8189500,2381500,*,Autosome,-0.0593036688723932
000003F.10,000003F,8189501,8208000,18500,*,Z,1.01708970809964
000003F.11,000003F,8208001,8727500,519500,*,Autosome,-0.137126376359525
000003F.12,000003F,8727501,8734000,6500,*,Z,1.73445641827132
000003F.13,000003F,8734001,9567500,833500,*,Autosome,0.0707407027590964
000004F.1,000004F,1,288000,288000,*,Autosome,0.548611959900627
000004F.2,000004F,288001,290500,2500,*,W,-2.19827600526624
000004F.3,000004F,290501,698000,407500,*,Autosome,0.40540886135659
000004F.4,000004F,698001,1716000,1018000,*,Autosome,-0.0836275448427485
000004F.5,000004F,1716001,1719500,3500,*,W,-2.80439422971049
000004F.6,000004F,1719501,1783000,63500,*,Autosome,-0.123728545012156
000004F.7,000004F,1783001,1788500,5500,*,Z,2.15295776919303
000004F.8,000004F,1788501,3999500,2211000,*,Autosome,-0.11826966394312
000004F.9,000004F,3999501,4003500,4000,*,Z,2.44398398706927
000004F.10,000004F,4003501,4212500,209000,*,Autosome,0.179762220061368
000004F.11,000004F,4212501,4424500,212000,*,Autosome,-0.194761843082629
000004F.12,000004F,4424501,4432000,7500,*,Z,1.89699221101356
000004F.13,000004F,4432001,7330500,2898500,*,Autosome,-0.0820856286277651
000004F.14,000004F,7330501,7341000,10500,*,W,-1.36293811305838
000004F.15,000004F,7341001,7698837,357837,*,Autosome,0.0375962915665963
000005F.1,000005F,1,92500,92500,*,Autosome,-0.353756661536529
000005F.2,000005F,92501,98000,5500,*,Z,1.66764370101696
000005F.3,000005F,98001,2003500,1905500,*,Autosome,-0.16129998851757
000005F.4,000005F,2003501,2016000,12500,*,Z,1.36086660773038
000005F.5,000005F,2016001,2045000,29000,*,Autosome,-0.0933076721446575
000005F.6,000005F,2045001,2050500,5500,*,Z,1.89205167575857
000005F.7,000005F,2050501,4769000,2718500,*,Autosome,-0.179800758610127
000005F.8,000005F,4769001,4774500,5500,*,Z,1.96467272592035
000005F.9,000005F,4774501,5223000,448500,*,Autosome,-0.000181958710093224
000005F.10,000005F,5223001,5241500,18500,*,Z,1.02470275268058
000005F.11,000005F,5241501,5363000,121500,*,Autosome,-0.0364844694834707
000005F.12,000005F,5363001,5529000,166000,*,Autosome,0.348286638984051
000005F.13,000005F,5529001,6130500,601500,*,Autosome,-0.149483014151462
000005F.14,000005F,6130501,6760000,629500,*,Autosome,0.111464412901293
000005F.15,000005F,6760001,6821500,61500,*,Z,0.665298471448858
000006F.1,000006F,1,477500,477500,*,Autosome,-0.0142478257783741
000006F.2,000006F,477501,519000,41500,*,W,-1.3219231715462
000006F.3,000006F,519001,2829500,2310500,*,Autosome,-0.0976710905436698
000006F.4,000006F,2829501,2913500,84000,*,Autosome,0.49828482966755
000006F.5,000006F,2913501,4915500,2002000,*,Autosome,-0.0457848338592853
000006F.6,000006F,4915501,5046000,130500,*,Autosome,0.251366754478649
000006F.7,000006F,5046001,5198000,152000,*,Autosome,-0.31231842366063
000006F.8,000006F,5198001,5201000,3000,*,Z,2.22038088620148
000006F.9,000006F,5201001,5315000,114000,*,Autosome,-0.444010658903842
000006F.10,000006F,5315001,6292500,977500,*,Autosome,-0.0288981731280323
000006F.11,000006F,6292501,6533000,240500,*,Autosome,0.381546004402805
000006F.12,000006F,6533001,6537000,4000,*,Z,2.4203343889541
000006F.13,000006F,6537001,6647500,110500,*,Autosome,0.215616267287152
000007F.1,000007F,1,299500,299500,*,Autosome,0.125951312254836
000007F.2,000007F,299501,1557000,1257500,*,Autosome,-0.213806092097709
000007F.3,000007F,1557001,1562500,5500,*,Z,2.15929603711292
000007F.4,000007F,1562501,1919000,356500,*,Autosome,-0.194072673841828
000007F.5,000007F,1919001,1924500,5500,*,Z,2.24234442446219
000007F.6,000007F,1924501,3078000,1153500,*,Autosome,-0.204078924077192
000007F.7,000007F,3078001,3087000,9000,*,Z,1.32041802565916
000007F.8,000007F,3087001,3710500,623500,*,Autosome,-0.084394131876768
000007F.9,000007F,3710501,3722500,12000,*,Z,1.77011352682536
000007F.10,000007F,3722501,4256500,534000,*,Autosome,-0.136345067465377
000007F.11,000007F,4256501,4259000,2500,*,Z,2.5655060291068
000007F.12,000007F,4259001,4445500,186500,*,Autosome,-0.23300043682262
000007F.13,000007F,4445501,4451000,5500,*,Z,1.87622794260252
000007F.14,000007F,4451001,5377000,926000,*,Autosome,-0.1914216653181
000007F.15,000007F,5377001,5440500,63500,*,Autosome,0.385868915804478
000007F.16,000007F,5440501,6074000,633500,*,Autosome,-0.226857484008846
000007F.17,000007F,6074001,6326734,252734,*,Autosome,0.284614309311889
000008F.1,000008F,1,4500,4500,*,Z,1.27258189155296
000008F.2,000008F,4501,215000,210500,*,Autosome,-0.152587451764934
000008F.3,000008F,215001,222000,7000,*,Z,1.78795154328052
000008F.4,000008F,222001,1011000,789000,*,Autosome,-0.108064329061164
000008F.5,000008F,1011001,1018500,7500,*,Z,1.65577929620598
000008F.6,000008F,1018501,2423500,1405000,*,Autosome,-0.228185782819705
000008F.7,000008F,2423501,2429000,5500,*,Z,1.67266269750052
000008F.8,000008F,2429001,4453500,2024500,*,Autosome,-0.240587816499366
000008F.9,000008F,4453501,4578000,124500,*,Autosome,0.126941909834306
000008F.10,000008F,4578001,4585500,7500,*,Z,1.296423499188
000008F.11,000008F,4585501,5318000,732500,*,Autosome,-0.242340939114435
000008F.12,000008F,5318001,5324000,6000,*,Z,1.7170962901271
000008F.13,000008F,5324001,5817500,493500,*,Autosome,-0.239815862770641
000008F.14,000008F,5817501,5827500,10000,*,Z,1.29567410207505
000008F.15,000008F,5827501,6240500,413000,*,Autosome,0.118007747983364
000008F.16,000008F,6240501,6259000,18500,*,Z,1.2564155664195
000008F.17,000008F,6259001,6268000,9000,*,Autosome,-0.511448838540709
000008F.18,000008F,6268001,6302000,34000,*,Z,1.52616469775783
000008F.19,000008F,6302001,6305500,3500,*,Z,3.26264367146186
000008F.20,000008F,6305501,6311000,5500,*,Autosome,-0.205188756834707
000008F.21,000008F,6311001,6318000,7000,*,Z,2.05998900036828
000009F.1,000009F,1,92000,92000,*,Autosome,0.0829482320117318
000009F.2,000009F,92001,96000,4000,*,W,-2.18503255268746
000009F.3,000009F,96001,606000,510000,*,Autosome,0.355560990541016
000009F.4,000009F,606001,1027000,421000,*,Autosome,0.101035105453802
000009F.5,000009F,1027001,1767000,740000,*,Autosome,-0.180068981925706
000009F.6,000009F,1767001,1772500,5500,*,Z,1.9422023367889
000009F.7,000009F,1772501,4334500,2562000,*,Autosome,-0.109118403948366
000009F.8,000009F,4334501,4340000,5500,*,Z,1.62445772105007
000009F.9,000009F,4340001,5274500,934500,*,Autosome,-0.182575758150538
000009F.10,000009F,5274501,5290000,15500,*,Z,1.29415052242487
000009F.11,000009F,5290001,6006500,716500,*,Autosome,-0.230991582395225
000009F.12,000009F,6006501,6013500,7000,*,Z,2.07836005102581
000009F.13,000009F,6013501,6162500,149000,*,Autosome,-0.20344553301629
000010F.1,000010F,1,150500,150500,*,Autosome,0.228592410604253
000010F.2,000010F,150501,543500,393000,*,Autosome,-0.133546223527872
000010F.3,000010F,543501,553000,9500,*,Z,1.65985171483835
000010F.4,000010F,553001,676000,123000,*,Autosome,-0.217658975331125
000010F.5,000010F,676001,697500,21500,*,Z,0.880287555469107
000010F.6,000010F,697501,709500,12000,*,W,-1.50735987743619
000010F.7,000010F,709501,796000,86500,*,Autosome,0.5203867044496
000010F.8,000010F,796001,902500,106500,*,Autosome,-0.372918811518898
000010F.9,000010F,902501,923500,21000,*,Z,0.697151231163564
000010F.10,000010F,923501,2556000,1632500,*,Autosome,-0.109592975633556
000010F.11,000010F,2556001,2561500,5500,*,Z,1.518220601098
000010F.12,000010F,2561501,3002500,441000,*,Autosome,-0.278291480413362
000010F.13,000010F,3002501,3012000,9500,*,Z,1.35207358003251
000010F.14,000010F,3012001,4030500,1018500,*,Autosome,-0.286238236426426
000010F.15,000010F,4030501,5809500,1779000,*,Autosome,-0.133250091641788
000010F.16,000010F,5809501,5936302,126802,*,Autosome,0.512670342671811
000011F.1,000011F,1,369000,369000,*,Autosome,-0.235081929735562
